Timestamp, Message
2023/03/31 16:55:32,Application Awake - version #2023.1.18
2023/03/31 16:55:32,Primary Display    App (screen dims): 1920 x 1080 (1.777778)   "Current Resolution": 1920 x 1080   Rendering Res: 1920 x 1080   System Res: 1920 x 1080
2023/03/31 16:55:32,Activated second display.   Rendering Res: 1920 x 1080   System Res: 1920 x 1080
2023/03/31 16:55:32,GameEvent raised: CloseAllWindows
2023/03/31 16:55:32,GameEvent raised: MuralPositionsLoaded
2023/03/31 16:55:32,GameEvent raised: ConfigLoaded
2023/03/31 16:55:32,Initializing from myWebCamTextureToMatHelper...
2023/03/31 16:55:32,Successfully found correct camera.
2023/03/31 16:55:32,NEW webCamTexture ID: -522
2023/03/31 16:55:33,WebCamTextureToMatHelper: Devicename:HD Pro Webcam C920 name: width:1280 height:720 fps:60 videoRotationAngle:0 videoVerticallyMirrored:False isFrongFacing:True
2023/03/31 16:55:33,Calling OnWebCamTextureToMatHelperInitialized...
2023/03/31 16:55:33,OnWebCamTextureToMatHelperInitialized. Screen.width 1920 Screen.height 1080 Screen.orientation Portrait
2023/03/31 16:55:33,Initializing thread.
2023/03/31 16:55:33,Thread Start.
2023/03/31 16:55:33,GameEvent raised: WebcamTextureToMatHelperInitialized
2023/03/31 16:55:33,The directory was created successfully at C:/Users/joshu/Documents/GitHub/moonshot-art-scan/Builds/Leak9-Mission/Moonshot Art Scan_Data/StreamingAssets\Images.
2023/03/31 16:55:33,Downloading scans to C:/Users/joshu/Documents/GitHub/moonshot-art-scan/Builds/Leak9-Mission/Moonshot Art Scan_Data/StreamingAssets\Images.
2023/03/31 16:55:33,Downloading number 0 of 6 scans: Red-0.png
2023/03/31 16:55:33,Initializing debug menu...
2023/03/31 16:55:33,GameEvent raised: WindowsRefreshed
2023/03/31 16:55:33,GameEvent raised: CloseAllWindows
2023/03/31 16:55:33,Starting app...
2023/03/31 16:55:33,GameEvent raised: Welcome
2023/03/31 16:55:33,Message from server: Connected to the Moonshot Server.
2023/03/31 16:55:33,GameEvent raised: NonScanWindowIsIn
2023/03/31 16:55:33,Webcam pausing...
2023/03/31 16:55:33,Thread stopped.
2023/03/31 16:55:33,Resume Round
2023/03/31 16:55:33,Resume round with: Red
2023/03/31 16:55:33,Client received 'resume round' from server.   missionState = Paused
2023/03/31 16:55:33,Negotiation failed.
2023/03/31 16:56:22,Downloading scans to C:/Users/joshu/Documents/GitHub/moonshot-art-scan/Builds/Leak9-Mission/Moonshot Art Scan_Data/StreamingAssets\Images.
2023/03/31 16:56:22,Downloading number 0 of 6 scans: Purple-0.png
2023/03/31 16:56:24,Downloading number 1 of 6 scans: Purple-1.png
2023/03/31 16:56:25,Could not find source path ('/Purple-1.png').
2023/03/31 16:56:25,Downloading number 2 of 6 scans: Purple-2.png
2023/03/31 16:56:26,Could not find source path ('/Purple-2.png').
2023/03/31 16:56:26,Downloading number 3 of 6 scans: Purple-3.png
2023/03/31 16:56:27,Downloading number 4 of 6 scans: Purple-4.png
2023/03/31 16:56:29,Downloaded scans in 6853.3995 milliseconds.
2023/03/31 16:56:48,GameEvent raised: CloseAllWindows
2023/03/31 16:56:48,GameEvent raised: NamesakeWindow
2023/03/31 16:56:48,GameEvent raised: Namesake Close
2023/03/31 16:56:48,GameEvent raised: NamePicker
2023/03/31 16:56:48,GameEvent raised: Start Click
2023/03/31 16:56:48,GameEvent raised: NonScanWindowIsIn
2023/03/31 16:56:48,Webcam pausing...
2023/03/31 16:56:49,GameEvent raised: Toggle On
2023/03/31 16:56:49,GameEvent raised: Toggle On
2023/03/31 16:56:50,GameEvent raised: Toggle On
2023/03/31 16:56:50,GameEvent raised: Namesake Close
2023/03/31 16:56:50,GameEvent raised: NameResult
2023/03/31 16:56:50,GameEvent raised: Button Click
