Timestamp, Message
2023/04/05 09:46:37,Application Awake - version #2023.1.18
2023/04/05 09:46:37,Primary Display    App (screen dims): 1920 x 1080 (1.777778)   "Current Resolution": 1920 x 1080   Rendering Res: 1920 x 1080   System Res: 1920 x 1080
2023/04/05 09:46:37,Activated second display.   Rendering Res: 1920 x 1080   System Res: 1920 x 1080
2023/04/05 09:46:37,Opening attract...
2023/04/05 09:46:38,GameEvent raised: CloseAllWindows
2023/04/05 09:46:38,GameEvent raised: MuralPositionsLoaded
2023/04/05 09:46:38,GameEvent raised: ConfigLoaded
2023/04/05 09:46:38,Initializing from myWebCamTextureToMatHelper...
2023/04/05 09:46:38,Cannot find camera device HD Pro Webcam C920.
2023/04/05 09:46:38,Warning occurred while initializing camera: WRONG_CAMERA_FIRST_SELECTED
2023/04/05 09:46:38,Showing warn display...
2023/04/05 09:46:38,CAMERA WARNING: First camera OF ANY KIND used instead of requested camera.
2023/04/05 09:46:38,NEW webCamTexture ID: -276
2023/04/05 09:46:38,NEW webCamTexture width: 16
2023/04/05 09:46:38,NEW webCamTexture height: 16
2023/04/05 09:46:38,Resetting update count...
2023/04/05 09:46:38,Setting should be playing to true...
2023/04/05 09:46:38,WebCamTextureToMatHelper: Devicename:Integrated Webcam name: width:640 height:480 fps:60 videoRotationAngle:0 videoVerticallyMirrored:False isFrongFacing:True
2023/04/05 09:46:38,Calling OnWebCamTextureToMatHelperInitialized...
2023/04/05 09:46:38,OnWebCamTextureToMatHelperInitialized. Screen.width 1920 Screen.height 1080 Screen.orientation Portrait
2023/04/05 09:46:38,GameEvent raised: WebcamTextureToMatHelperInitialized
2023/04/05 09:46:38,Resetting update count...
2023/04/05 09:46:38,GameEvent raised: WindowsRefreshed
2023/04/05 09:46:38,GameEvent raised: CloseAllWindows
2023/04/05 09:46:38,Starting app...
2023/04/05 09:46:38,GameEvent raised: Attract
2023/04/05 09:46:39,GameEvent raised: NonScanWindowIsIn
2023/04/05 09:46:39,Webcam pausing...
2023/04/05 09:46:39,Resetting update count...
2023/04/05 09:46:39,Setting should be playing to false...
2023/04/05 09:46:55,Closing attract...
2023/04/05 09:46:56,GameEvent raised: CloseAllWindows
2023/04/05 09:46:56,GameEvent raised: ScanWindow
2023/04/05 09:46:56,GameEvent raised: Start Click
2023/04/05 09:46:56,GameEvent raised: ScanWindowIsIn
2023/04/05 09:46:56,Webcam playing...
2023/04/05 09:46:56,Resetting update count...
2023/04/05 09:46:56,Setting should be playing to true...
2023/04/05 09:47:04,Opening debug menu and initializing...
2023/04/05 09:47:04,Initializing debug menu...
2023/04/05 09:47:04,Closing debug menu...
2023/04/05 09:47:04,Webcam pausing...
2023/04/05 09:47:04,Resetting update count...
2023/04/05 09:47:04,Setting should be playing to false...
2023/04/05 09:47:04,resetting requested device name
2023/04/05 09:47:04,Initializing from myWebCamTextureToMatHelper...
2023/04/05 09:47:04,Releasing resources...
2023/04/05 09:47:04,OnWebCamTextureToMatHelperDisposed
2023/04/05 09:47:04,Successfully found correct camera.
2023/04/05 09:47:04,NEW webCamTexture ID: -376
2023/04/05 09:47:04,NEW webCamTexture width: 16
2023/04/05 09:47:04,NEW webCamTexture height: 16
2023/04/05 09:47:04,Resetting update count...
2023/04/05 09:47:04,Setting should be playing to true...
